"id","strat_name"
321,"Carmelo"
322,"Carpenter Pond"
323,"Carrabassett"
324,"Carrara"
325,"Carrizo"
327,"Carwood"
328,"Carys Mill"
329,"Cascaden"
330,"Caseyville"
331,"Casitas"
332,"Casper"
333,"Cass"
334,"Cassa"
335,"Castaic"
336,"Castle Hayne"
337,"Catahoula"
338,"Cataract"
339,"Cathedral Cliffs"
340,"Cathedral Mountain"
341,"Catheys"
342,"Catoctin"
343,"Catron"
344,"Catskill"
345,"Catskin"
346,"Cedar Keys"
347,"Cedar Mountain"
348,"Cedar Valley"
349,"Chadakoin"
350,"Chadron"
351,"Chaffee"
352,"Chainman"
353,"Chalk Hills"
354,"Chambersburg"
355,"Chamisal"
356,"Chanac"
357,"Chandler Falls"
358,"Chandler"
359,"Chandler Pond"
360,"Chanute"
361,"Charging Eagle"
362,"Charles"
363,"Chase Brook"
364,"Chase Lake"
365,"Chatham Hill"
366,"Chatsworth"
367,"Chattahoochee"
368,"Chazy"
370,"Chemung"
371,"Cherry Canyon"
372,"Cherryvale"
373,"Chickaloon"
374,"Chickasawhay"
375,"Chickies"
376,"Chicopee"
377,"Chignik"
378,"China Mountain"
379,"Chinitna"
380,"Chinle"
381,"Chipman"
382,"Chisana"
383,"Chisos"
384,"Chititu"
385,"Chiuli Shaik"
386,"Chloropagus"
387,"Chopawamsic"
388,"Choptank"
389,"Chota"
390,"Chowan River"
391,"Choza"
392,"Chuckanut"
393,"Chugwater"
394,"Chumstick"
395,"Church Creek"
396,"Cid"
397,"Cierbo"
398,"Cimarron Ridge"
399,"Citronelle"
400,"Claggett"
401,"Clairmont"
402,"Clallam"
403,"Clarita"
404,"Clarkston"
405,"Clays Ferry"
406,"Clayton"
407,"Cliff House Sandstone"
408,"Clifty"
409,"Climbing Arrow"
410,"Clinton"
411,"Clore"
412,"Cloud Chief"
413,"Cloverly"
414,"Clyde"
415,"Coal Canyon"
416,"Coal Mine Brook"
417,"Coal Valley"
418,"Coaledo"
419,"Cobble Mountain"
420,"Coberly"
421,"Coburn"
422,"Cochran"
423,"Cochrane"
424,"Cockfield"
425,"Coffee Creek"
426,"Coffee"
427,"Coker"
428,"Cokeville"
429,"Coleman Junction"
430,"Coleraine"
431,"Collinsville"
432,"Colorado"
433,"Colter"
434,"Colton"
435,"Coltor"
436,"Columbia"
437,"Comanche Peak"
438,"Compton"
439,"Comus"
440,"Conasauga"
441,"Concha Limestone"
442,"Conemaugh"
443,"Congaree"
444,"Congress Canyon"
445,"Connoquenessing"
446,"Conococheague"
447,"Contadero"
448,"Converse"
449,"Cook Mountain"
450,"Cooks"
451,"Cookson"
452,"Coon Creek"
453,"Coon Hollow"
454,"Cooper"
455,"Copake"
456,"Copenhagen"
457,"Copper Basin"
458,"Copper Ridge"
459,"Copperhill"
460,"Copps"
461,"Corbin Ranch"
462,"Cotton Valley"
463,"Couch"
464,"Cove Creek"
465,"Cow Bayou"
466,"Cowlitz"
467,"Cox Sandstone"
468,"Coyote Butte"
469,"Crab Orchard"
470,"Crescent"
471,"Crete"
472,"Crevasse Canyon"
473,"Cross Mountain"
474,"Crowder"
475,"Crystal River"
476,"Crystal Spring"
477,"Cuchara"
478,"Cumberland"
479,"Curry Peak"
480,"Curtis"
481,"Cushing"
482,"Cutler"
483,"Cutoff Shale"
484,"Cutter"
485,"Cuyahoga"
486,"Cypress"
487,"Cypresshead"
488,"Dagger Flat"
489,"Dahlen"
490,"Dakota"
491,"Dalton"
492,"Danby"
493,"Dantzler"
494,"Darby"
495,"Davis"
496,"Davis Spring"
497,"Dawson Arkose"
498,"Dawson Bay"
499,"Dawson Canyon"
500,"Dayton"
501,"De Forest"
502,"Dead River"
503,"Deadwood"
504,"Dean"
505,"Decker"
506,"Decorah"
507,"Deep Creek"
508,"Deep Spring"
509,"Deer Butte"
510,"Deer Creek"
511,"Deer Valley"
512,"Del Norte"
513,"Delaware River"
514,"Delmar"
515,"Demopolis Chalk"
516,"Denham"
517,"Denmar"
518,"Dennis"
519,"Dennys"
520,"Denton"
521,"Dentzler"
522,"Denver"
523,"Descon"
524,"Desert Peak"
525,"Detroit River"
526,"Devils Hole"
527,"Dewey Lake"
528,"Diablo"
529,"Diamond Island"
530,"Diamond Peak"
531,"Digdequash"
532,"Diligencia"
533,"Dillsboro"
534,"Dinwoody"
535,"Dixie Valley"
536,"Dixon"
537,"Dixville"
538,"Dockum"
539,"Dog Creek Shale"
540,"Dolet Hills"
541,"Dolly Ridge"
542,"Dolores"
543,"Domengine"
544,"Dorcheat"
545,"Doswell"
546,"Dot"
547,"Dotsero"
548,"Double Lakes"
549,"Double Spring"
550,"Doughnut"
551,"Dows"
552,"Doxey"
553,"Doxey Shale"
554,"Doyle Creek"
555,"Drakes Bay"
556,"Drakes"
557,"Draney Limestone"
558,"Drewsey"
559,"Dripping Springs"
560,"Drum Limestone"
561,"Dry Branch"
562,"Dubuque"
563,"Duchesne River"
564,"Duck Creek"
565,"Dugger"
566,"Dun Glen"
567,"Dunbar Creek"
568,"Dunlap"
569,"Dunleith"
570,"Dunn"
571,"Duperow"
572,"Dutch Island Harbor"
573,"Dutchtown"
574,"Eagle Creek"
575,"Eagle"
576,"Eagle Ford"
577,"Eagle Mills"
578,"Earp"
579,"East Berlin"
580,"East Fork"
581,"Eastover"
582,"Eastport"
583,"Eau Claire"
584,"Echooka"
585,"Edgemont"
586,"Edgewood"
587,"Edinburg"
588,"Edisto"
589,"Edmunds"
590,"Edna Mountain"
591,"Edwards"
592,"Edwardsville"
593,"Eel River"
594,"Eggleston Limestone"
595,"El Paso"
596,"Elbert"
597,"Elbrook Dolomite"
598,"Elephant Canyon"
599,"Eli"
600,"Eliot"
601,"Elko"
602,"Ellensburg"
603,"Elsey"
604,"Elwood"
605,"Elwren"
606,"Embden"
607,"Emerson"
608,"Emigrant"
609,"Eminence Dolomite"
610,"Empire"
611,"Emporia"
612,"Enchantment Lake"
613,"Engelmann"
614,"Englewood"
615,"English River"
616,"Englishtown"
617,"Enion"
618,"Entrada Sandstone"
619,"Equality"
620,"Erda"
621,"Erving"
622,"Erwin"
623,"Escalante Desert"
624,"Escondido"
625,"Esopus Shale"
626,"Espada"
